id	name	label	resource	description	synonyms	pmids	taxid	xrefs	raw_id
ENTREZ:27777	DNA segment, 03B03F (Research Genetics)	Gene	ENTREZ				10090	SYMBOL:03B03F|MGI:1341858	ENTREZ:27777
ENTREZ:27451	DNA segment, 10S	Gene	ENTREZ				10090	MGI:1336996|SYMBOL:10S	ENTREZ:27451
ENTREZ:27817	DNA segment, 133J02F (Research Genetics)	Gene	ENTREZ				10090	MGI:1341856|SYMBOL:133J02F	ENTREZ:27817
ENTREZ:110442	DNA segment, 13.MMHAP42FLE1	Gene	ENTREZ		DNA segment, 13.MMHAP42FLE1|ESTM58		10090	SYMBOL:13.MMHAP42FLE1|MGI:1338043	ENTREZ:110442
ENTREZ:36059	14-3-3zeta	Gene	ENTREZ		PAR-5|leo|14-3-3z|CG17870|14-3-3-zeta|14-3-3 zeta|14-3-3|LEO|5.11|l(2)46Ee|549|leonardo|CG17870-PH|leonardo 14-3-3|14-3-3zeta-PA|14-3-3zeta-PH|CG17870-PA|CG17870-PF|14-3-3-Leo|CG17870-PC|Dmel\CG17870|BEST:GH05075|CG17870-PG|CG17870-PL|Leo|14-3-3leo|CG17870-PJ|Leonardo-13-3-3|2G1|14-3-3zeta|par-5|CG17870-PB|D14-3-3|l(2)46CFe|14.3.3|Par-5|14-3-3zeta-PI|14-3-3zeta-PL|14-3-3zeta-PE|CG17870-PE|14-3-3zeta-PD|14-3-3zeta-PJ|14-3-3zeta-PB|CG17870-PI|PAR5|d14-3-3zeta|14-3-3zeta-PK|K|CG17870-PD|14-3-3zeta-PC|1433Z|CG17870-PK|4-3-3 zeta|D14-3-3zeta|14-3-3zeta-PF|14-3-3ZETA|14-3-3zeta-PG|l(2)07103|D14 3 3 protein|complementation group K		7227	SYMBOL:14-3-3zeta|ENSEMBL:FBgn0004907|UNIPROT:P29310	ENTREZ:36059
ENTREZ:100195171	14-3-3 protein beta/alpha-2	Gene	ENTREZ		14-3-3 protein beta/alpha-2		8030	SYMBOL:143b2	ENTREZ:100195171
ENTREZ:79203	DNA segment, 167L17-T7	Gene	ENTREZ				10090	MGI:1930529|SYMBOL:167L17-T7	ENTREZ:79203
ENTREZ:18252269	pseudo	Gene	ENTREZ				1283716	SYMBOL:16S ribosomal RNA	ENTREZ:18252269
ENTREZ:103572613	Bracovirus particle protein 17a	Gene	ENTREZ		Bracovirus particle protein 17a		69319	SYMBOL:17a	ENTREZ:103572613
